Region,Score
Region A,61.53
Region B,57.28
Region A,65.53
Region A,78.56
Region A,72.14
Region B,61.31
Region A,71.73
Region A,73.85
Region A,61.16
Region B,82.31
Region A,70.58
Region A,58.57
Region A,73.58
Region A,75.61
Region B,96.25
Region A,80.54
Region B,59.33
Region B,65.93
Region B,87.73
Region A,75.14
Region B,87.73
Region A,108.53
Region B,88.56
Region B,97.03
Region B,94.31
Region B,89.77
Region B,75.27
Region B,91.38
Region B,68.41
Region B,76.45
Region A,65.15
Region A,70.82
Region B,114.72
Region B,51.99
Region B,90.29
Region A,53.87
Region B,72.92
Region A,80.89
Region A,70.64
Region A,59.22
Region A,62.85
Region A,76.8
Region B,69.04
Region B,83.25
Region B,80.68
Region B,70.23
Region B,112.16
Region A,76.34
Region B,49.62
Region B,82.8
Region A,63.38
Region B,92.79
Region A,62.07
Region B,78.28
Region A,75.05
Region B,92.99
Region B,62.0
Region A,66.65
Region A,65.25
Region A,63.47
Region A,87.65
Region A,74.05
Region A,57.39
Region A,79.18
Region A,91.22
Region B,95.49
Region B,57.21
Region A,65.16
Region B,99.0
Region B,69.38
Region B,86.66
Region B,91.62
Region A,60.73
Region B,79.11
Region A,37.59
Region B,64.63
Region B,76.21
Region B,61.28
Region A,86.32
Region B,58.55
Region A,65.6
Region B,81.96
Region A,84.41
Region B,58.46
Region A,81.63
Region A,70.1
Region B,65.28
Region A,74.62
Region B,82.99
Region B,71.0
Region B,81.05
Region B,74.22
Region B,81.7
Region B,89.93
Region B,103.79
Region B,61.43
Region B,112.0
Region B,50.72
Region B,77.72
Region A,75.88
Region A,72.81
Region B,70.66
Region B,76.88
Region B,72.6
Region B,71.16
Region B,92.74
Region B,85.36
Region B,69.61
Region B,93.49
Region A,73.07
Region B,92.19
Region A,76.3
Region B,67.57
Region B,71.6
Region A,77.47
Region B,89.16
Region A,69.79
Region B,81.76
Region B,99.16
Region A,64.08
Region B,88.21
Region A,67.98
Region B,76.73
Region A,80.99
Region A,78.25
Region B,92.2
Region B,99.58
Region A,70.21
Region B,90.23
Region B,75.35
Region B,84.86
Region A,68.7
Region A,70.97
Region A,75.95
Region A,61.82
Region A,90.92
Region A,59.94
Region A,57.86
Region A,81.58
Region A,77.92
Region B,89.36
Region A,76.28
Region B,79.82
Region B,66.54
Region B,81.14
Region A,63.23
Region A,79.75
Region A,68.53
Region A,61.75
Region B,75.18
Region A,74.13
Region A,64.36
Region A,61.78
Region A,72.44
Region A,72.45
Region B,72.4
Region A,65.29
Region B,83.48
Region A,55.52
Region B,58.89
Region A,62.82
Region A,67.87
Region B,84.66
Region B,102.13
Region B,92.86
Region A,68.4
Region B,79.71
Region A,59.97
Region A,69.81
Region B,75.67
Region B,84.84
Region A,61.73
Region A,75.19
Region B,102.99
Region B,78.37
Region B,86.03
Region A,76.9
Region A,65.99
Region A,72.24
Region A,70.13
Region A,70.98
Region A,62.27
Region B,80.37
Region A,74.98
Region A,84.51
Region A,79.59
Region B,112.3
Region A,62.33
Region A,78.72
Region B,82.75
Region A,91.9
Region A,61.92
Region A,61.6
Region A,64.01
Region A,48.76
Region B,72.11
Region B,68.61
Region B,82.26
Region A,73.42
Region A,88.76
Region A,79.5
Region B,71.35
Region A,61.02
Region A,74.92
Region B,60.2
Region A,88.31
Region B,97.69
Region B,72.96
Region B,54.3
Region A,83.54
Region A,68.85
Region A,82.38
Region A,54.06
Region A,64.01
Region A,70.05
Region A,70.47
Region B,73.25
Region A,76.23
Region B,63.99
Region A,68.58
Region A,71.2
Region A,75.14
Region B,90.67
Region B,63.13
Region B,56.99
Region B,99.17
Region A,73.32
Region B,68.77
Region A,85.51
Region A,71.16
Region B,97.69
Region B,81.01
Region B,110.91
Region B,106.33
Region B,76.27
Region B,94.57
Region B,89.68
Region B,100.53
Region A,60.35
Region B,90.29
Region B,95.88
Region A,52.41
Region B,62.25
Region A,49.61
Region A,67.31
Region B,90.76
Region A,85.02
Region A,70.74
Region A,86.29
Region A,56.2
Region B,54.45
Region A,69.44
Region B,85.76
Region A,69.67
Region A,49.33
Region A,69.11
Region A,56.96
Region B,90.05
Region B,85.5
