Hours_Studied,Attendance,Assignments,Exam_Score
7,96,57,86.19
4,83,87,67.03
8,88,61,95.58
5,90,73,71.23
7,94,77,88.43
10,92,57,103.16
3,80,77,48.67
7,91,85,99.38
8,82,75,85.45
5,92,57,71.47
4,62,99,65.6
8,77,77,82.43
8,84,77,97.83
3,90,86,63.53
6,62,90,71.53
5,99,85,77.39
2,83,76,55.92
8,91,66,88.55
6,81,58,76.31
2,82,82,44.58
5,61,69,58.36
1,86,62,33.51
10,61,77,103.69
6,85,97,90.82
9,76,78,95.53
1,99,62,43.04
10,92,95,118.55
3,68,84,52.18
7,98,55,81.33
4,88,67,64.6
9,85,100,101.76
3,94,54,60.22
5,84,96,77.82
3,83,74,56.98
7,72,51,77.14
5,66,59,60.65
9,95,79,101.2
7,79,99,87.99
2,60,94,52.61
4,67,54,58.09
9,75,82,90.69
2,73,50,46.19
10,71,67,97.97
9,82,81,88.34
10,74,96,100.03
5,87,98,78.74
2,93,60,60.45
4,61,70,60.42
7,91,75,93.16
8,82,74,85.41
3,81,71,57.75
1,84,76,50.43
4,81,98,56.27
2,81,62,56.25
8,65,82,74.6
4,74,83,67.78
2,96,90,62.23
6,92,84,68.7
6,67,50,54.65
10,64,70,100.36
4,98,97,78.87
6,63,55,61.5
2,65,77,42.49
10,91,66,103.06
2,89,54,49.44
10,94,80,109.47
4,99,54,66.9
8,75,87,95.82
7,72,52,78.85
9,89,72,98.7
8,78,86,86.84
5,76,86,67.87
2,78,59,46.94
5,87,59,77.1
8,85,68,85.07
10,96,66,103.3
9,85,70,82.28
9,82,63,94.58
1,68,58,49.29
9,71,95,89.63
7,60,50,85.87
9,60,100,92.91
8,93,94,81.84
1,91,62,43.77
8,84,53,90.45
8,99,50,97.7
3,60,98,59.19
1,75,89,54.14
8,98,81,87.71
3,64,83,50.4
3,81,77,49.3
1,88,80,45.37
5,62,57,63.81
10,71,88,99.96
7,85,75,86.84
10,75,83,94.42
9,96,52,88.82
7,81,99,87.12
9,88,61,89.59
8,73,50,86.41
2,87,93,53.56
1,64,54,33.52
7,89,79,86.59
7,64,79,75.05
8,71,66,76.33
5,75,97,66.4
3,85,96,65.39
8,85,72,81.11
6,80,64,79.79
3,98,86,61.15
1,95,70,51.58
3,92,63,55.05
5,89,51,62.32
3,96,60,60.03
1,82,100,55.86
5,69,88,67.06
10,64,87,96.27
7,95,83,91.14
7,93,87,91.5
9,90,99,100.61
10,69,83,95.08
10,78,67,97.21
3,91,79,60.15
7,60,64,74.36
1,64,76,34.43
4,63,100,64.29
4,75,83,59.51
5,83,87,76.83
7,75,82,77.54
7,61,73,71.62
4,87,64,65.13
7,91,79,85.17
3,86,91,73.38
6,79,100,71.55
2,83,66,50.65
10,71,54,97.75
9,94,78,94.91
5,92,53,63.65
6,92,59,71.05
4,96,66,57.94
10,71,59,99.85
7,62,66,72.15
9,60,69,83.56
7,92,73,73.58
1,99,54,39.33
1,69,83,50.63
9,88,55,92.92
9,72,51,91.63
4,71,62,62.9
9,90,92,94.4
3,61,92,66.85
7,94,97,99.35
6,82,60,69.78
8,76,100,72.96
9,85,96,96.92
5,67,72,65.69
1,88,65,42.56
3,85,80,58.39
10,69,60,88.56
8,85,65,91.11
6,93,57,75.62
8,100,53,93.36
9,66,89,97.71
4,63,53,42.63
1,70,74,37.95
1,88,52,39.68
10,95,81,117.56
4,84,52,60.35
7,80,76,85.26
2,95,78,46.7
3,69,81,55.62
1,96,99,59.49
5,68,100,74.71
1,83,68,47.62
8,94,70,90.27
1,94,54,45.31
1,95,67,39.43
2,77,77,46.0
2,98,91,60.75
6,91,71,73.92
7,83,70,84.34
5,82,55,67.93
1,91,50,50.14
1,96,54,50.39
3,71,90,58.44
2,72,61,49.54
5,82,75,74.63
10,84,95,101.66
6,94,83,79.15
7,100,98,91.12
4,89,63,60.92
7,76,75,84.88
8,79,94,87.36
1,84,76,52.66
6,81,58,70.07
8,72,75,86.96
5,78,96,73.43
4,95,71,61.82
2,71,96,52.4
6,100,79,83.47
6,78,92,77.48
1,71,97,39.99
9,68,66,96.11
6,66,75,71.24
3,87,85,57.13
4,73,50,64.0
4,90,57,65.49
3,78,98,55.0
10,75,84,94.08
3,64,64,48.89
3,94,96,66.89
4,71,71,62.61
7,84,63,84.55
4,80,75,65.7
9,95,77,104.63
1,82,72,45.63
8,75,63,79.3
7,98,73,85.98
2,98,51,51.26
8,73,94,75.81
1,90,75,45.19
9,64,63,87.37
9,94,100,100.08
2,82,56,44.57
7,88,52,83.36
10,70,96,95.62
3,77,72,59.06
7,71,95,75.64
10,68,92,112.6
9,69,96,92.82
4,76,94,63.98
1,97,67,54.22
2,66,87,47.11
1,72,84,51.67
5,99,100,81.56
5,68,64,62.61
7,86,74,81.47
9,61,86,95.54
9,64,77,89.75
3,88,59,58.36
3,96,88,67.11
3,97,66,60.96
4,78,88,67.6
8,67,71,81.71
6,60,75,68.75
8,81,93,85.3
1,76,74,45.09
8,66,66,72.4
4,84,62,63.02
1,63,69,37.3
8,95,74,93.17
4,65,53,48.86
6,90,59,64.2
8,78,52,80.05
4,98,90,66.17
3,86,94,53.7
9,69,67,91.94
3,85,96,70.71
9,78,85,90.42
2,98,96,60.22
2,62,71,43.26
2,72,83,46.91
6,87,96,84.62
3,79,57,58.15
9,87,89,93.56
4,67,98,63.92
1,100,93,61.02
4,98,68,70.45
1,60,91,46.39
5,62,90,73.44
4,72,86,69.57
8,87,55,90.24
8,84,75,88.92
7,92,83,84.29
3,97,94,66.42
1,65,55,33.83
1,91,86,40.74
3,80,82,57.0
6,75,71,74.49
7,80,70,77.06
6,70,55,67.04
6,96,55,75.03
6,95,97,90.68
3,94,53,55.0
6,78,79,81.98
8,79,60,70.14
2,77,79,57.64
5,100,80,82.49
1,73,73,47.01
1,74,58,29.74
5,90,52,72.49
3,60,100,55.75
4,62,80,45.95
3,75,89,64.79
1,82,86,55.02
1,70,85,34.48
5,71,73,66.78
6,69,80,79.64
3,91,55,62.45
9,75,51,90.88
