Date,Category,Sales
2023-01-01,Electronics,962.0
2023-01-01,Groceries,1879.0
2023-01-01,Fashion,832.0
2023-01-01,Home & Kitchen,514.0
2023-01-02,Electronics,806.0
2023-01-02,Groceries,1471.0
2023-01-02,Fashion,788.0
2023-01-02,Home & Kitchen,420.0
2023-01-03,Electronics,802.0
2023-01-03,Groceries,1521.0
2023-01-03,Fashion,674.0
2023-01-03,Home & Kitchen,487.0
2023-01-04,Electronics,816.0
2023-01-04,Groceries,1499.0
2023-01-04,Fashion,703.0
2023-01-04,Home & Kitchen,551.0
2023-01-05,Electronics,830.0
2023-01-05,Groceries,1549.0
2023-01-05,Fashion,652.0
2023-01-05,Home & Kitchen,401.0
2023-01-06,Electronics,787.0
2023-01-06,Groceries,1557.0
2023-01-06,Fashion,637.0
2023-01-06,Home & Kitchen,529.0
2023-01-07,Electronics,1051.0
2023-01-07,Groceries,1887.0
2023-01-07,Fashion,760.0
2023-01-07,Home & Kitchen,660.0
2023-01-08,Electronics,917.0
2023-01-08,Groceries,1721.0
2023-01-08,Fashion,828.0
2023-01-08,Home & Kitchen,548.0
2023-01-09,Electronics,758.0
2023-01-09,Groceries,1569.0
2023-01-09,Fashion,787.0
2023-01-09,Home & Kitchen,414.0
2023-01-10,Electronics,889.0
2023-01-10,Groceries,1589.0
2023-01-10,Fashion,774.0
2023-01-10,Home & Kitchen,589.0
2023-01-11,Electronics,750.0
2023-01-11,Groceries,1507.0
2023-01-11,Fashion,654.0
2023-01-11,Home & Kitchen,463.0
2023-01-12,Electronics,830.0
2023-01-12,Groceries,1450.0
2023-01-12,Fashion,734.0
2023-01-12,Home & Kitchen,420.0
2023-01-13,Electronics,772.0
2023-01-13,Groceries,1566.0
2023-01-13,Fashion,617.0
2023-01-13,Home & Kitchen,531.0
2023-01-14,Electronics,948.0
2023-01-14,Groceries,1759.0
2023-01-14,Fashion,753.0
2023-01-14,Home & Kitchen,508.0
2023-01-15,Electronics,949.0
2023-01-15,Groceries,1752.0
2023-01-15,Fashion,869.0
2023-01-15,Home & Kitchen,583.0
2023-01-16,Electronics,791.0
2023-01-16,Groceries,1510.0
2023-01-16,Fashion,787.0
2023-01-16,Home & Kitchen,598.0
2023-01-17,Electronics,871.0
2023-01-17,Groceries,1407.0
2023-01-17,Fashion,774.0
2023-01-17,Home & Kitchen,434.0
2023-01-18,Electronics,780.0
2023-01-18,Groceries,1563.0
2023-01-18,Fashion,649.0
2023-01-18,Home & Kitchen,503.0
2023-01-19,Electronics,831.0
2023-01-19,Groceries,1401.0
2023-01-19,Fashion,733.0
2023-01-19,Home & Kitchen,453.0
2023-01-20,Electronics,805.0
2023-01-20,Groceries,1403.0
2023-01-20,Fashion,653.0
2023-01-20,Home & Kitchen,590.0
2023-01-21,Electronics,1005.0
2023-01-21,Groceries,1743.0
